37.2	142.3	18.37	0
31	145.3	14.68	0
27.3	145.2	12.95	0
26.5	137.1	14.1	0
28.2	143.1	13.77	0
30.3	143.2	14.78	0
41.5	144.7	19.82	0
41.1	145.5	19.41	0
35.5	140.8	17.91	0
41.5	143.1	20.27	0
46.2	149.3	20.73	0
43.1	153.9	18.2	0
34.2	143.8	16.54	0
29.3	142.3	14.47	0
31.7	137.5	16.77	0
37.2	140	18.98	0
29.8	136.1	16.09	0
41.2	152.8	17.65	0
48.8	166	17.71	0
34.4	140	17.55	0
30.1	140.5	15.25	0
38.3	150.1	17	0
33.8	139.5	17.37	0
38.5	154.2	16.19	0
29.7	137	15.82	0
24.3	128	14.83	0
35.3	145.1	16.77	0
31.6	139	16.36	0
34.4	145.3	16.29	0
35.6	139.5	18.29	0
33.7	144.2	16.21	0
35.8	143.5	17.39	0
36.6	150	16.27	0
35.1	147.1	16.22	0
42.2	146.2	19.74	0
27.4	142.8	13.44	0
35.1	147	16.24	0
30.4	144.2	14.62	0
44.8	152.2	19.34	0
33.6	142.8	16.48	0
34.2	143.6	16.59	0
38.2	149.4	17.11	0
34.7	136.1	18.73	0
37.7	147.3	17.38	0
36.9	147.1	17.05	0
32.6	147.5	14.98	0
30.3	145.1	14.39	0
31.2	142.5	15.36	0
34.4	139	17.8	0
36.1	142.2	17.85	0
28.2	134.3	15.63	0
32.8	150	14.58	0
35.6	142.7	17.48	0
33.4	144.6	15.97	0
29.9	142.1	14.81	0
35.1	139.8	17.96	0
39.3	160.1	15.33	0
42.4	148.2	19.3	0
44.1	146.1	20.66	0
41.1	159.2	16.22	0
42.9	160	16.76	0
40.7	155.9	16.75	0
32.4	141.1	16.27	0
33.8	141	17	0
37.5	146.9	17.38	0
32.3	131	18.82	0
41.7	152.6	17.91	0
37.6	142	18.65	0
43.3	162.9	16.32	0
27.8	140.1	14.16	0
38.2	147.3	17.61	0
42.8	159.2	16.89	0
34.4	141	17.3	0
43.7	151.5	19.04	0
48.8	155.5	20.18	0
45.8	153.2	19.51	0
35.8	142.6	17.61	0
34.8	146.3	16.26	0
34.9	147.5	16.04	0
29.4	135.8	15.94	0
35.5	142.5	17.48	0
37.7	150.5	16.64	0
34.1	144.3	16.38	0
32.9	145	15.65	0
32.7	138	17.17	0
41.1	156.1	16.87	0
30.9	132.2	17.68	0
32.5	146.6	15.12	0
42.5	151.5	18.52	0
35.9	139.4	18.47	0
50.8	159.2	20.04	0
49.2	155.3	20.4	0
38.1	153.2	16.23	0
33.8	140.7	17.07	0
44	153.2	18.75	0
35.1	148	16.02	0
32	140.9	16.12	0
46.5	151.8	20.18	0
46.1	158.5	18.35	0
30.4	141.8	15.12	0
33.1	149.2	14.87	0
40.1	154.1	16.89	0
32.8	144.2	15.77	0
31.5	140.7	15.91	0
30.7	146.9	14.23	0
38.1	154.6	15.94	0
30.8	143.5	14.96	0
27.1	141.6	13.52	0
41.2	146.4	19.22	0
47.6	160.5	18.48	0
40.3	152.5	17.33	0
33.1	145.1	15.72	0
36.6	142.4	18.05	0
42.8	157.8	17.19	0
45.6	154.5	19.1	0
42.3	147.3	19.5	0
36.5	145.5	17.24	0
40.4	154.2	16.99	0
26.9	137.1	14.31	0
28.8	142.5	14.18	0
38.8	155.5	16.05	0
56.5	167.1	20.23	0
28.5	139.8	14.58	0
43.2	159.2	17.05	0
34.4	141	17.3	0
34.6	151.5	15.07	0
33.5	142.8	16.43	0
35.7	145.2	16.93	0
43.6	151.5	19	0
44.8	153.1	19.11	0
29.9	142.5	14.72	0
38.3	153	16.36	0
30.6	140.3	15.55	0
45.9	157.5	18.5	0
35.4	148.7	16.01	0
30.2	152.8	12.93	0
39	140.2	19.84	0
44	144.1	21.19	50
49.8	144.2	23.95	50
54	153.5	22.92	50
50.1	154.2	21.07	50
55.7	153.1	23.76	50
46.7	146.1	21.88	50
54.1	151.2	23.66	50
55.3	152.3	23.84	50
59	152.5	25.37	50
61	158.5	24.28	50
56.3	156	23.13	50
61.4	160.5	23.84	50
53.8	151.8	23.35	50
54.6	150.1	24.23	50
48.8	148.6	22.1	50
53.9	147.6	24.74	50
50.1	146.5	23.34	50
54.7	156.6	22.31	50
51.6	150.7	22.72	50
54.6	152.9	23.35	50
49.1	146.8	22.78	50
63.7	160.5	24.73	50
52.6	146.2	24.61	50
59.7	152.7	25.6	50
59.2	161.3	22.75	50
60.1	158.2	24.01	50
64.3	160.5	24.96	50
52.1	155.9	21.44	50
66.1	167	23.7	50
41	132.3	23.42	50
55.7	153.3	23.7	50
58.7	155.8	24.18	50
51.9	153.1	22.14	50
48.7	140.3	24.74	50
57.7	154.4	24.2	50
76.8	147	35.54	100
68.2	159.2	26.91	100
60.9	148.3	27.69	100
71.7	158.6	28.5	100
68.9	161.3	26.48	100
58.1	148	26.52	100
60.4	147.1	27.91	100
68.5	155.3	28.4	100
77.2	168.3	27.26	100
50.1	139.9	25.6	100
63.2	150.8	27.79	100
